second,sad,angry,happy,neutral,class
0,0.6280295,0.77405924,0.00087723136,0.0004993677,1
1,0.99436325,0.0027271807,0.00637272,0.031054765,0
2,0.28171134,0.44261742,0.37812787,0.030434042,1
3,1.0,0.0,0.0,0.0,0
4,0.9988924,0.0025828183,0.04482189,0.0005734563,0
5,0.45066026,0.29482746,0.43337953,0.022010118,0
6,0.86700183,0.025425076,0.11428204,0.1308037,0
7,0.002209127,3.0398369e-06,1.0,0.0,2
8,1.0,0.0,0.0,0.0,0
9,0.00046133995,2.8014183e-05,0.9999999,0.0,2
10,1.0,0.0,8.940697e-08,0.0,0
11,0.95473766,0.5871433,0.0006853342,1.7881393e-06,0
12,0.99778014,0.00094786286,0.15817511,0.00015449524,0
13,0.9999939,9.164214e-05,8.2582235e-05,0.00049701333,0
14,0.86038935,0.74157584,0.0783613,3.1411648e-05,0
15,0.98977697,0.04224047,0.1067799,0.0035647452,0
16,1.0,1.4901161e-07,1.5795231e-06,0.0,0
17,0.99700725,1.1473894e-05,0.9866928,0.0,0
18,0.0,1.0,0.0,0.0,1
19,0.24588639,0.019583315,0.88651,0.040252656,2
20,1.0,0.0,0.0,0.0,0
21,0.10750821,0.9962024,0.0029450655,0.00016477704,1
22,0.9999397,0.00383991,0.00282529,8.016825e-05,0
23,1.0,0.0,5.567074e-05,0.0,0
24,0.9999999,0.00015696883,0.0006006658,0.0,0
25,0.97166175,0.0012794137,0.78404826,8.028746e-05,0
26,0.9999989,0.00019919872,0.0002373159,9.536743e-07,0
27,1.0,1.4901161e-07,3.4570694e-06,0.0,0
28,0.71185815,0.8389974,0.0043156147,1.6778708e-05,1
29,0.99704635,0.0130319595,0.059443176,0.0009287894,0
30,0.9999999,4.172325e-07,0.00029319525,2.9802322e-08,0
31,0.07881421,0.94027364,0.18343484,0.00011339784,1
32,0.9973854,0.0147509575,0.011426985,0.003027618,0
33,0.98043466,0.13139951,0.060089022,0.00032249093,0
34,1.0,0.0,0.0,0.0,0
35,0.9564481,0.016542494,0.9310609,6.854534e-07,0
36,1.0,2.9802322e-08,1.513958e-05,0.0,0
37,0.02572748,0.0013075471,0.9997797,0.00010690093,2
38,1.0,5.9604645e-08,2.682209e-07,0.0,0
39,0.999998,4.3720007e-05,0.012949228,1.7881393e-07,0
40,1.0,0.0,3.2782555e-07,0.0,0
41,0.37114394,0.43419302,0.2228393,0.07338607,1
42,1.0,8.940697e-08,0.0,0.0,0
43,1.0,0.0,0.0,0.0,0
44,0.99957085,0.0035565794,0.0012430847,5.9604645e-08,0
45,0.009411782,0.9994005,0.0012283921,0.00047174096,1
46,0.9999653,0.00028777122,0.018832862,1.3411045e-06,0
47,1.0,1.1473894e-05,5.662441e-07,0.0,0
48,1.0,0.0,0.0,0.0,0
49,1.0,0.0,0.0,0.0,0
50,1.0,0.0,3.5226345e-05,0.0,0
51,0.9999955,0.0016014576,0.00021246076,5.066395e-07,0
52,1.0,2.0861626e-07,2.0861626e-07,0.0,0
53,1.0,0.0,0.0,0.0,0
54,0.92343676,0.01457727,0.1484356,0.043551296,0
55,0.99999326,0.0008610189,0.0040079057,1.3411045e-06,0
56,0.99999833,3.5256147e-05,0.009126991,2.682209e-07,0
57,0.99975646,0.056505412,2.8192997e-05,1.1920929e-06,0
58,1.0,0.0,0.0,0.0,0
59,0.034054607,0.0002926588,0.99986947,7.221103e-05,2
60,1.0,0.0,0.0,0.0,0
61,0.9999989,0.00017207861,0.0005723536,4.3213367e-06,0
62,0.58077025,0.0073049366,0.9205237,0.0015152097,2
63,0.97723013,0.16036257,0.013130158,0.0015334785,0
64,1.0,0.0,0.0,0.0,0
65,0.0005544424,0.9999927,0.003131926,2.9802322e-08,1
66,0.99998003,0.0021893382,0.008119136,1.7136335e-05,0
67,1.0,0.0,0.0,0.0,0
68,0.99976313,0.00062042475,0.081042826,3.2007694e-05,0
69,1.0,0.00011256337,4.5835972e-05,0.0,0
70,0.941352,0.0597966,0.07664257,0.058080852,0
71,1.0,4.887581e-06,7.8082085e-06,0.0,0
72,1.0,3.5762787e-07,3.2782555e-07,0.0,0
73,1.0,0.0,0.0,0.0,0
74,1.0,0.0,0.0,0.0,0
75,0.99699605,0.0019312203,0.036078542,0.0024891496,0
76,0.9997299,0.007380247,0.008544236,0.00027158856,0
77,0.9999995,0.00011113286,0.0005403757,2.2649765e-06,0
78,1.0,5.066395e-07,7.987022e-06,0.0,0
79,0.014296979,0.9840456,0.07090324,0.0002399683,1
80,0.5743107,0.029220134,0.9553714,0.00021862984,2
81,0.50828266,4.4703484e-06,0.9999716,0.0,2
82,0.9999982,0.0026187003,8.225441e-06,1.9073486e-06,0
83,0.9952477,0.00071793795,0.6093588,3.85046e-05,0
84,1.0,0.0,0.00066286325,0.0,0
85,1.0,0.0,2.4437904e-06,0.0,0
86,1.0,2.5182962e-05,0.0,0.0,0
87,0.94391024,0.06811902,0.05669424,0.06320098,0
88,1.8656254e-05,1.0,5.930662e-06,0.0,1
89,1.0,0.0,0.0,0.0,0
90,1.0,2.9802322e-08,0.0,0.0,0
91,0.99930143,0.00041171908,0.07122657,5.9366226e-05,0
92,0.044121563,0.22002128,0.9260544,0.0032571852,2
93,1.0,0.0,0.0,0.0,0
94,0.9995571,0.00010043383,0.0010322332,0.0021574497,0
95,0.38623425,0.5231343,0.23119691,0.069637865,1
96,1.0,0.0,2.9802322e-08,0.0,0
97,1.0,8.940697e-07,0.00012853742,0.0,0
98,1.0,0.0,0.0,0.0,0
99,1.0,8.940697e-08,5.662441e-07,0.0,0
100,1.0,0.0,0.0,0.0,0
101,0.68006015,0.038815796,0.7738428,0.007086009,2
102,0.98524916,0.027005613,0.23452976,0.00016760826,0
103,1.0,6.684661e-05,7.814169e-05,8.940697e-08,0
104,1.0,2.7418137e-06,0.00010621548,2.9802322e-07,0
105,0.9999996,0.0002425611,0.00013977289,1.7881393e-06,0
106,1.0,7.6413155e-05,0.00014337897,0.0,0
107,1.0,0.0,2.9802322e-08,0.0,0
108,0.9999996,1.1920929e-06,0.7096855,0.0,0
109,0.9999871,0.001883626,0.010813981,2.0861626e-07,0
110,0.00925985,0.99994254,0.0015172362,8.6426735e-07,1
111,1.0,1.4901161e-07,1.7881393e-07,0.0,0
112,0.9999806,0.00059595704,0.0016919672,0.00010034442,0
113,0.7857059,0.03927952,0.6785083,0.0066649914,0
114,0.99805355,0.0013207793,0.2942056,2.8312206e-06,0
115,1.0,0.0,0.0,0.0,0
116,1.0,9.834766e-06,3.9100647e-05,5.066395e-07,0
117,0.9239481,0.04969254,0.5445231,0.0025299788,0
118,1.0,0.0,2.0861626e-07,0.0,0
119,1.0,0.0,0.0,0.0,0
120,0.1310254,0.99311984,0.0044754446,7.086992e-05,1
121,0.9975202,0.4518373,0.0023275018,1.7881393e-07,0
122,0.97200656,0.23881766,0.18317035,1.4215708e-05,0
123,0.99933016,0.013585895,0.06994134,1.7881393e-07,0
124,0.0040558074,0.9999987,8.081537e-05,0.0,1
Class count,100,15,10,0
